id,name,category,price tier ,neighborhood,opening hour,closing hour,average rating,good for kids
75,Mandarin Buffet,Chinese,expensive,Turtle Bay,16:15,22:30,2.6,false
76,Dragon Buffet,Chinese,medium,Diamond District,14:45,21:30,4.3,true
77,Lucky Buffet,Chinese,cheap,Madison Square,16:15,23:30,4.3,false
78,Golden Buffet,Chinese,cheap,Little Brazil,15:30,20:45,3.0,false
79,Chopstick Buffet,Chinese,expensive,Turtle Bay,13:00,22:30,3.4,true
80,Peking Buffet,Chinese,medium,Hudson Yards,17:45,23:15,1.6,true
81,Imperial Buffet,Chinese,expensive,Diamond District,11:45,20:45,4.5,false
82,Jade Buffet,Chinese,cheap,Midtown East,18:00,20:45,4.6,false
83,Red Buffet,Chinese,cheap,Columbus Circle,11:45,23:30,1.5,false
84,Fortune Buffet,Chinese,cheap,Garment District,16:15,23:30,3.7,true
85,Dragon Buffet,Chinese,cheap,Rockefeller Center,12:20,22:30,2.7,true
86,China Buffet,Chinese,expensive,Midtown,14:45,23:45,3.1,false
87,Dynasty Buffet,Chinese,expensive,Rockefeller Center,12:20,23:30,1.9,false
88,Mandarin Buffet,Chinese,expensive,Tudor City,09:30,22:30,4.1,true
89,Dragon Buffet,Chinese,cheap,Garment District,09:30,21:45,1.6,false
90,Lucky Buffet,Chinese,cheap,Turtle Bay,15:30,22:00,2.1,true
91,Golden Buffet,Chinese,expensive,Midtown,18:00,20:45,2.3,true
92,Chopstick Buffet,Chinese,expensive,Madison Square,13:00,20:00,2.0,true
93,Peking Buffet,Chinese,expensive,Midtown East,10:15,20:00,4.5,true
94,Imperial Buffet,Chinese,expensive,Rockefeller Center,18:00,20:00,2.6,false
95,Jade Buffet,Chinese,expensive,Midtown East,11:45,21:45,4.0,true
96,Red Buffet,Chinese,medium,Little Brazil,17:45,20:45,2.7,true
97,Fortune Buffet,Chinese,medium,Diamond District,17:45,22:00,3.2,true
98,Golden Dragon,Chinese,expensive,Little Brazil,18:00,22:00,1.1,true
99,Panda Express,Chinese,cheap,Garment District,17:45,22:30,2.2,false
100,Lucky Bamboo,Chinese,expensive,Madison Square,16:15,22:45,2.7,true
101,Ristorante Il Gusto,Italian,cheap,Madison Square,16:15,23:45,2.0,false
102,Gelateria La Dolcezza,Italian,medium,Columbus Circle,10:15,21:30,3.3,false
103,Caffe Milano,Italian,medium,Midtown,12:20,23:45,2.4,true
104,Trattoria La Cucina,Italian,medium,Rockefeller Center,16:15,22:45,2.8,false
105,Pizzeria Bella Napoli,Italian,medium,Garment District,16:15,23:15,1.5,true
106,Osteria Da Mario,Italian,medium,Herald Square,14:45,20:00,3.4,false
107,Ristorante La Perla,Italian,cheap,Diamond District,09:30,21:30,3.1,true
108,Gelateria Dolce Vita,Italian,expensive,Midtown West,14:45,22:00,3.5,false
109,Caffe Roma,Italian,medium,Tenderloin,17:45,20:45,3.8,false
110,Trattoria La Famiglia,Italian,expensive,Sutton Place,13:00,20:00,3.5,false
111,Pizzeria Amore,Italian,cheap,Rockefeller Center,12:20,21:45,1.9,false
112,Osteria Del Sole,Italian,medium,Theater District,18:00,21:30,3.6,true
113,Ristorante La Piazza,Italian,cheap,Little Brazil,16:15,22:00,4.5,false
114,Trattoria Bella Vita,Italian,expensive,Madison Square,10:15,23:15,2.2,true
115,Ristorante La Piazza,Italian,expensive,Theater District,17:45,23:15,2.6,false
116,Osteria Del Sole,Italian,cheap,Madison Square,14:45,20:00,4.1,true
117,Pizzeria Amore,Italian,medium,Tudor City,18:00,23:45,1.5,false
118,Gelateria Dolce Vita,Italian,cheap,Times Square,10:15,20:00,1.3,false
119,Caffe Roma,Italian,medium,Tudor City,10:15,22:45,4.9,true
120,Ristorante Buon Gusto,Italian,expensive,Murray Hill,11:45,23:45,2.3,false
121,Trattoria La Famiglia,Italian,cheap,Herald Square,13:00,22:45,2.9,false
122,Pizzeria Napoli,Italian,cheap,Garment District,12:20,23:15,1.7,false
123,Osteria Da Mario,Italian,expensive,Tudor City,18:00,23:30,2.5,false
124,Ristorante La Perla,Italian,medium,Midtown,18:00,23:45,1.6,true
125,Gelateria La Dolcezza,Italian,medium,Little Brazil,10:15,22:30,1.6,false
126,Caffe Milano,Italian,cheap,Diamond District,11:45,23:15,1.4,false
127,Trattoria La Cucina,Italian,medium,Sutton Place,14:45,23:45,2.8,true
128,Pizzeria Bella Napoli,Italian,medium,Hell's Kitchen,14:45,22:30,3.8,true
129,Osteria La Taverna,Italian,expensive,Midtown East,09:30,21:30,3.5,false
130,Ristorante Il Gusto,Italian,expensive,Theater District,10:15,22:30,2.6,true
131,Gelateria La Crema,Italian,medium,Little Brazil,15:30,23:30,2.9,false
132,Caffe Venezia,Italian,medium,Herald Square,10:15,23:45,1.9,true
133,Trattoria La Rustica,Italian,cheap,Hell's Kitchen,11:45,20:45,1.7,false
134,Pizzeria La Margherita,Italian,cheap,Turtle Bay,11:45,22:45,1.9,true
135,Osteria Il Vino,Italian,medium,Turtle Bay,17:45,23:15,1.6,false
136,Ristorante La Sirena,Italian,expensive,Herald Square,09:30,23:15,4.0,true
137,Gelateria La Fragola,Italian,cheap,Herald Square,18:00,22:30,1.7,false
138,Caffe Firenze,Italian,cheap,Sutton Place,17:45,22:30,1.9,false
139,Trattoria La Pergola,Italian,cheap,Garment District,16:15,21:45,2.3,true
140,Pizzeria La Focaccia,Italian,expensive,Midtown East,17:45,22:45,2.7,true
141,Osteria La Bottega,Italian,cheap,Koreatown,15:30,21:45,4.1,true
142,Ristorante Il Mare,Italian,medium,Tenderloin,14:45,23:45,4.6,true
143,Gelateria La Vaniglia,Italian,cheap,Tenderloin,10:15,21:45,2.5,false
144,Caffe Sorrento,Italian,cheap,Madison Square,09:30,22:45,3.6,false
145,Trattoria La Grotta,Italian,medium,Hell's Kitchen,10:15,20:00,1.0,true
146,Pizzeria La Pizza,Italian,cheap,Columbus Circle,13:00,23:30,1.1,true
147,Osteria La Cantina,Italian,expensive,Little Brazil,13:00,21:45,1.2,true
148,Ristorante La Luna,Italian,expensive,Koreatown,09:30,23:15,4.8,true
149,Gelateria La Cioccolata,Italian,cheap,Midtown East,13:00,21:30,1.5,false
150,Caffe Capri,Italian,medium,Sutton Place,11:45,21:30,2.5,false
151,Trattoria La Terrazza,Italian,medium,Little Brazil,12:20,22:30,4.8,false
152,Pizzeria La Forchetta,Italian,medium,Midtown East,09:30,22:00,3.9,true
153,Osteria La Locanda,Italian,cheap,Diamond District,16:15,21:30,4.5,true
154,Ristorante Il Sole,Italian,expensive,Diamond District,16:15,21:30,2.2,true
155,Gelateria La Nocciola,Italian,expensive,Garment District,10:15,20:45,4.7,true
156,Caffe Toscana,Italian,medium,Rockefeller Center,17:45,23:30,1.2,true
157,Trattoria La Spiaggia,Italian,medium,Hudson Yards,14:45,22:30,2.8,false
158,Pizzeria La Panetteria,Italian,expensive,Koreatown,13:00,23:30,1.5,false
159,Osteria La Sosta,Italian,expensive,Turtle Bay,09:30,23:30,4.1,true
160,Ristorante La Stella,Italian,cheap,Little Brazil,12:20,21:45,2.7,false
161,Gelateria La Menta,Italian,expensive,Midtown East,09:30,23:30,4.2,true
162,Caffe Sicilia,Italian,medium,Turtle Bay,11:45,23:15,4.7,false
163,Trattoria La Montagna,Italian,medium,Turtle Bay,14:45,22:00,3.4,true
164,Pizzeria La Trattoria,Italian,cheap,Rockefeller Center,12:20,23:45,3.3,false
165,Osteria La Piazzetta,Italian,medium,Midtown West,13:00,22:45,2.6,false
166,Ristorante Il Pescatore,Italian,cheap,Tudor City,16:15,22:45,3.4,false
167,Gelateria La Banana,Italian,cheap,Diamond District,12:20,20:45,3.3,true
168,Caffe Napoli,Italian,cheap,Koreatown,16:15,22:45,3.7,true
169,Trattoria La Campagna,Italian,expensive,Tenderloin,10:15,23:45,4.8,true
170,Pizzeria La Fornace,Italian,cheap,Herald Square,09:30,22:00,3.2,false
171,Osteria La Cucina,Italian,medium,Columbus Circle,10:15,20:00,1.2,false
172,Ristorante La Bottega,Italian,expensive,Tenderloin,18:00,22:30,2.8,true
173,Gelateria La Fragola,Italian,medium,Garment District,14:45,23:30,2.3,true
174,Caffe Roma,Italian,cheap,Garment District,11:45,23:30,2.1,false
175,Trattoria La Pergola,Italian,expensive,Little Brazil,09:30,21:45,1.1,false
176,Pizzeria La Margherita,Italian,expensive,Little Brazil,14:45,22:30,4.4,false
177,Osteria Il Vino,Italian,cheap,Tenderloin,18:00,22:45,1.9,true
178,Ristorante La Sirena,Italian,cheap,Columbus Circle,11:45,22:45,2.3,true
179,Gelateria La Crema,Italian,cheap,Hell's Kitchen,10:15,22:45,3.8,true
180,Caffe Venezia,Italian,expensive,Hell's Kitchen,12:20,22:45,2.3,false
181,Trattoria La Rustica,Italian,cheap,Hell's Kitchen,15:30,22:30,1.2,true
182,Pizzeria La Focaccia,Italian,cheap,Koreatown,15:30,23:45,4.6,false
183,Osteria La Taverna,Italian,expensive,Herald Square,11:45,20:00,3.5,true
184,Ristorante Il Gusto,Italian,cheap,Tenderloin,12:20,21:45,2.0,false
185,Gelateria La Dolcezza,Italian,expensive,Theater District,17:45,20:00,2.1,false
186,Caffe Milano,Italian,cheap,Turtle Bay,11:45,22:45,4.5,true
187,Trattoria La Cucina,Italian,medium,Madison Square,10:15,22:45,3.7,false
188,Pizzeria Bella Napoli,Italian,cheap,Koreatown,16:15,23:15,2.3,false
189,Osteria Da Mario,Italian,medium,Columbus Circle,10:15,21:45,2.0,true
190,Ristorante La Perla,Italian,cheap,Midtown,10:15,20:00,2.3,true
191,Gelateria Dolce Vita,Italian,expensive,Hell's Kitchen,17:45,21:30,3.7,false
192,Caffe Roma,Italian,cheap,Tenderloin,15:30,21:45,2.9,false
193,Trattoria La Famiglia,Italian,cheap,Midtown West,11:45,23:15,1.7,false
194,Pizzeria Amore,Italian,cheap,Koreatown,16:15,23:30,1.3,false
195,Osteria Del Sole,Italian,medium,Tenderloin,17:45,23:45,3.7,true
196,Ristorante La Piazza,Italian,medium,Tudor City,09:30,22:30,2.2,true
197,Gelateria La Fragola,Italian,medium,Koreatown,17:45,22:30,3.0,true
198,Caffe Firenze,Italian,cheap,Sutton Place,13:00,22:45,4.7,false
199,Trattoria La Pergola,Italian,expensive,Midtown East,12:20,23:45,1.3,false
200,Pizzeria La Pizza,Italian,medium,Diamond District,17:45,23:15,2.6,true
201,Tamales Temple,Mexican,expensive,Hudson Yards,11:45,21:30,1.8,false
202,Chile Relleno Retreat,Mexican,cheap,Sutton Place,18:00,20:00,5.0,false
203,Sangria Sanctuary,Mexican,cheap,Midtown,14:45,21:30,1.8,false
204,Chilaquiles Chamber,Mexican,expensive,Rockefeller Center,13:00,22:30,4.0,false
205,Papaya Paradise,Mexican,cheap,Diamond District,11:45,20:45,3.4,true
206,Mole Manor,Mexican,expensive,Tenderloin,18:00,22:00,1.3,false
207,Jicama Junction,Mexican,expensive,Diamond District,16:15,20:00,2.1,true
208,Huevos Rancheros Hideaway,Mexican,expensive,Hell's Kitchen,14:45,22:30,3.2,false
209,Pulpo Pavilion,Mexican,cheap,Turtle Bay,16:15,22:30,2.8,false
210,Pina Colada Palace,Mexican,cheap,Herald Square,15:30,23:15,2.0,false
211,Pork Pibil Pavilion,Mexican,medium,Little Brazil,10:15,23:15,2.2,true
212,Pescado Perch,Mexican,medium,Sutton Place,15:30,22:30,2.8,false
213,Machaca Mansion,Mexican,cheap,Theater District,17:45,22:45,4.8,false
214,Lengua Lodge,Mexican,cheap,Times Square,14:45,22:00,2.1,true
215,Jalapeno Joint,Mexican,expensive,Little Brazil,10:15,20:00,2.3,true
216,Huitlacoche Haven,Mexican,expensive,Tenderloin,13:00,21:45,1.1,true
217,Gordita Garden,Mexican,medium,Rockefeller Center,09:30,23:45,3.6,false
218,Guisado Grove,Mexican,expensive,Times Square,10:15,20:00,4.3,false
219,Guajillo Grotto,Mexican,cheap,Sutton Place,11:45,22:00,2.0,false
220,Frijoles Fiesta,Mexican,medium,Hudson Yards,10:15,20:00,3.3,true
221,Elote Estate,Mexican,expensive,Garment District,10:15,21:30,5.0,false
222,Cochinita Cottage,Mexican,expensive,Murray Hill,16:15,22:45,3.4,false
223,Camarones Cabin,Mexican,expensive,Hell's Kitchen,17:45,23:30,2.4,false
224,Cactus Cove,Mexican,cheap,Hell's Kitchen,14:45,22:45,4.9,true
225,Barbacoa Bungalow,Mexican,expensive,Turtle Bay,17:45,23:15,1.7,false
226,Aguachile Abode,Mexican,medium,Midtown,16:15,23:45,3.5,false
227,Albondigas Alley,Mexican,medium,Midtown,10:15,21:45,2.0,true
228,Ancho Adobe,Mexican,cheap,Madison Square,10:15,23:30,4.9,false
229,Birria Bistro,Mexican,medium,Koreatown,15:30,20:45,2.6,true
230,Cactus Cantina,Mexican,medium,Rockefeller Center,09:30,21:30,3.7,true
231,Carnitas Cove,Mexican,medium,Rockefeller Center,13:00,20:45,3.6,false
232,Chalupa Chalet,Mexican,cheap,Sutton Place,12:20,21:45,3.6,false
233,Chicharron Cabin,Mexican,expensive,Hell's Kitchen,10:15,22:30,2.3,false
234,Chorizo Cottage,Mexican,cheap,Hudson Yards,14:45,20:00,2.9,false
235,Cilantro Corner,Mexican,cheap,Columbus Circle,11:45,21:45,2.0,false
236,Cochinita Casita,Mexican,medium,Sutton Place,18:00,20:45,1.9,false
237,Crepas Cabin,Mexican,medium,Koreatown,10:15,20:00,1.3,true
238,Dulce de Leche Den,Mexican,expensive,Times Square,15:30,23:15,1.9,true
239,Empanada Enclave,Mexican,medium,Koreatown,11:45,23:30,4.9,true
240,Escamoles Estate,Mexican,expensive,Madison Square,15:30,20:00,3.2,false
241,Fideo Farm,Mexican,medium,Tudor City,10:15,20:00,3.7,true
242,Flan Fort,Mexican,cheap,Turtle Bay,18:00,21:30,1.9,false
243,Gordita Garden,Mexican,medium,Garment District,13:00,23:30,3.7,false
244,Horchata Hut,Mexican,medium,Tenderloin,09:30,21:30,2.8,true
245,Jalapeno Junction,Mexican,cheap,Sutton Place,11:45,20:45,1.5,true
246,Jicama Jungle,Mexican,cheap,Little Brazil,15:30,22:00,3.4,true
247,Limeade Lodge,Mexican,cheap,Theater District,12:20,23:15,2.5,false
248,Masa Manor,Mexican,medium,Diamond District,11:45,21:30,2.1,true
249,Mole Mansion,Mexican,medium,Midtown East,09:30,20:45,4.1,true
250,Nopal Nook,Mexican,expensive,Tudor City,18:00,20:45,2.1,true
251,Pambazo Pavilion,Mexican,medium,Koreatown,10:15,23:45,3.6,true
252,Pepino Palace,Mexican,medium,Diamond District,13:00,21:45,2.8,true
253,Pozole Pavilion,Mexican,expensive,Columbus Circle,14:45,23:15,5.0,false
254,Queso Quarters,Mexican,cheap,Turtle Bay,15:30,22:30,3.3,true
255,Rajas Retreat,Mexican,medium,Koreatown,10:15,22:00,1.8,false
256,Salsa Shack,Mexican,expensive,Sutton Place,14:45,22:30,3.3,false
257,Sopa Spot,Mexican,cheap,Diamond District,09:30,22:30,3.4,true
258,Taco Terrace,Mexican,expensive,Hell's Kitchen,10:15,20:00,4.0,true
259,Tamarindo Tavern,Mexican,expensive,Hell's Kitchen,18:00,23:45,3.8,true
260,Tlacoyo Tower,Mexican,medium,Midtown East,16:15,23:15,1.2,true
261,Tlayuda Terrace,Mexican,medium,Diamond District,09:30,21:45,4.9,false
262,Torta Tavern,Mexican,expensive,Midtown East,10:15,21:30,2.6,true
263,Tostada Terrace,Mexican,expensive,Times Square,15:30,22:45,3.3,true
264,Vermicelli Villa,Mexican,expensive,Hudson Yards,17:45,21:45,4.9,false
265,Xoconostle Xanadu,Mexican,expensive,Herald Square,12:20,22:45,1.8,true
266,Yucatan Yurt,Mexican,cheap,Turtle Bay,09:30,21:45,3.6,false
267,Zarzamora Zenith,Mexican,cheap,Tenderloin,10:15,22:45,4.5,false
268,Taco Town,Mexican,expensive,Turtle Bay,18:00,23:15,2.2,true
269,Burrito Barn,Mexican,medium,Hell's Kitchen,17:45,20:45,2.8,true
270,Salsa Shack,Mexican,cheap,Garment District,13:00,22:00,2.1,false
271,Enchilada Emporium,Mexican,cheap,Rockefeller Center,11:45,23:15,1.9,false
272,Quesadilla Quarters,Mexican,expensive,Times Square,10:15,20:45,1.2,false
273,Guacamole Grill,Mexican,medium,Columbus Circle,14:45,21:30,4.6,true
274,Chimichanga Chalet,Mexican,medium,Madison Square,16:15,22:45,2.4,false
275,Nachos Nook,Mexican,medium,Garment District,13:00,21:30,2.7,true
276,Fajita Factory,Mexican,expensive,Columbus Circle,14:45,20:00,4.8,true
277,Tamale Tavern,Mexican,expensive,Theater District,09:30,20:00,4.5,false
278,Margarita Mansion,Mexican,expensive,Midtown East,11:45,20:00,3.4,false
279,Ceviche Corner,Mexican,expensive,Rockefeller Center,14:45,23:45,2.1,true
280,Churro Chateau,Mexican,medium,Little Brazil,13:00,23:30,3.8,true
281,Tostada Terrace,Mexican,cheap,Theater District,09:30,21:45,1.6,false
282,Pozole Palace,Mexican,medium,Midtown,17:45,22:30,1.2,true
283,Empanada Eatery,Mexican,expensive,Herald Square,12:20,23:15,1.7,false
284,Horchata House,Mexican,medium,Madison Square,14:45,21:45,2.2,false
285,Sopes Spot,Mexican,cheap,Columbus Circle,09:30,22:00,1.9,false
286,Tortilla Tower,Mexican,cheap,Theater District,17:45,22:45,4.3,true
287,Pico de Gallo Place,Mexican,medium,Murray Hill,14:45,21:45,1.2,false
288,Flauta Fort,Mexican,expensive,Diamond District,18:00,21:30,1.9,true
289,Carnitas Castle,Mexican,cheap,Turtle Bay,15:30,22:00,2.4,false
290,Tamales Temple,Mexican,medium,Times Square,10:15,23:30,2.8,true
291,Chile Relleno Retreat,Mexican,cheap,Koreatown,12:20,21:30,1.1,true
292,Sangria Sanctuary,Mexican,medium,Koreatown,16:15,20:45,2.4,true
293,Chilaquiles Chamber,Mexican,expensive,Diamond District,16:15,22:30,1.7,false
294,Papaya Paradise,Mexican,medium,Midtown West,17:45,22:45,2.0,true
295,Mole Manor,Mexican,cheap,Times Square,11:45,20:45,3.0,true
296,Jicama Junction,Mexican,cheap,Hell's Kitchen,16:15,21:30,1.4,false
297,Huevos Rancheros Hideaway,Mexican,cheap,Times Square,09:30,22:45,1.8,false
298,Pulpo Pavilion,Mexican,expensive,Theater District,11:45,22:30,1.5,false
299,Pina Colada Palace,Mexican,cheap,Midtown,18:00,22:00,4.5,false
300,Pork Pibil Pavilion,Mexican,expensive,Little Brazil,13:00,22:00,3.9,false
301,Fukushima Sashimi,Japanese,medium,Koreatown,18:00,22:30,4.6,false
302,Yamaguchi Yakitori,Japanese,expensive,Columbus Circle,11:45,20:45,3.3,false
303,Kochi Bento,Japanese,expensive,Midtown West,13:00,20:00,2.2,false
304,Tottori Okonomiyaki,Japanese,expensive,Midtown,09:30,22:45,3.0,false
305,Saga Shabu Shabu,Japanese,cheap,Hudson Yards,14:45,21:45,1.5,false
306,Wakayama Soba,Japanese,cheap,Madison Square,12:20,22:00,2.0,true
307,Oita Hotpot,Japanese,cheap,Rockefeller Center,12:20,23:30,3.8,false
308,Chiba Sushi Bar,Japanese,cheap,Tudor City,17:45,22:30,3.6,true
309,Gifu Ramen House,Japanese,expensive,Turtle Bay,14:45,22:00,3.2,false
310,Shiga Izakaya,Japanese,cheap,Midtown West,09:30,20:45,4.3,true
311,Nagasaki Teppanyaki,Japanese,expensive,Rockefeller Center,09:30,22:30,2.9,false
312,Okayama Udon,Japanese,expensive,Columbus Circle,18:00,22:45,4.5,false
313,Miyagi Tempura,Japanese,expensive,Little Brazil,13:00,23:15,3.8,false
314,Aichi Sashimi,Japanese,medium,Tenderloin,14:45,22:45,2.9,false
315,Kagawa Yakitori,Japanese,cheap,Tudor City,09:30,22:30,3.8,false
316,Tokushima Bento,Japanese,medium,Herald Square,09:30,22:30,4.3,true
317,Hiroshima Okonomiyaki,Japanese,cheap,Tudor City,11:45,21:30,4.2,false
318,Kagoshima Shabu Shabu,Japanese,cheap,Tudor City,14:45,21:30,1.6,false
319,Okinawa Soba,Japanese,medium,Theater District,16:15,23:45,4.4,true
320,Hokkaido Hotpot,Japanese,expensive,Theater District,16:15,23:45,2.0,false
321,Miyazaki Sushi Bar,Japanese,medium,Midtown West,13:00,23:45,2.5,false
322,Nagano Ramen House,Japanese,cheap,Madison Square,17:45,23:45,1.6,false
323,Ibaraki Izakaya,Japanese,medium,Sutton Place,10:15,23:45,2.1,false
324,Kumamoto Teppanyaki,Japanese,cheap,Midtown East,12:20,22:45,4.6,false
325,Shizuoka Udon,Japanese,cheap,Herald Square,11:45,23:15,4.4,true
326,Aomori Tempura,Japanese,medium,Murray Hill,14:45,21:45,2.6,true
327,Mie Sashimi,Japanese,cheap,Tudor City,16:15,21:30,4.6,true
328,Tochigi Yakitori,Japanese,medium,Madison Square,13:00,22:30,4.7,false
329,Yamanashi Bento,Japanese,cheap,Turtle Bay,17:45,20:00,2.9,true
330,Iwate Okonomiyaki,Japanese,expensive,Garment District,09:30,21:45,2.6,true
331,Gunma Shabu Shabu,Japanese,medium,Hudson Yards,12:20,23:30,4.0,true
332,Ehime Soba,Japanese,cheap,Sutton Place,16:15,20:00,3.1,true
333,Yamagata Hotpot,Japanese,cheap,Diamond District,15:30,21:45,1.1,true
334,Akita Sushi Bar,Japanese,medium,Sutton Place,14:45,23:45,1.2,false
335,Shimane Ramen House,Japanese,expensive,Tenderloin,16:15,20:00,4.9,false
336,Fukui Izakaya,Japanese,medium,Times Square,17:45,22:45,2.2,true
337,Niigata Teppanyaki,Japanese,cheap,Midtown,12:20,23:15,3.4,true
338,Toyama Udon,Japanese,expensive,Midtown West,17:45,20:00,2.0,true
339,Ishikawa Tempura,Japanese,medium,Midtown West,14:45,21:30,3.5,false
340,Fukushima Sashimi,Japanese,medium,Rockefeller Center,17:45,21:45,4.2,false
341,Yamaguchi Yakitori,Japanese,medium,Tenderloin,11:45,23:30,3.4,true
